,Fall_Allegheny_1,Fall_Allegheny_2,Fall_Allegheny_3,Fall_Braddock_1,Fall_Braddock_2,Fall_Braddock_3,Fall_Control_1,Fall_Control_2,Fall_Control_3,Fall_Monongahela_1,Fall_Monongahela_2,Fall_Monongahela_3,Fall_Neville_1,Fall_Neville_2,Fall_Neville_3,Fall_Sharpsburg_1,Fall_Sharpsburg_2,Fall_Sharpsburg_3,Fall_Sharpsburg_4,Spring_Braddock_1,Spring_Braddock_2,Spring_Control_1,Spring_Monongahela_1,Spring_Monongahela_2,Spring_Neville_1,Spring_Sharpsburg_1,Summer_Allegheny_1,Summer_Braddock_1,Summer_Braddock_2,Summer_Monongahela_1,Summer_Neville_1,Summer_Neville_2,Summer_Sharpsburg_1,Summer_Sharpsburg_2,Winter_Allegheny_2,Winter_Allegheny_3,Winter_Braddock_1,Winter_Braddock_2,Winter_Braddock_3,Winter_Control_2,Winter_Monongahela_1,Winter_Monongahela_2,Winter_Monongahela_3,Winter_Neville_1,Winter_Neville_2,Winter_Neville_3,Winter_Sharpsburg_1,Winter_Sharpsburg_2,Winter_Sharpsburg_3
Fall_Allegheny_1,0.000000,0.408884,0.434063,0.532121,0.484348,0.503285,0.699333,0.836638,0.765113,0.521998,0.549736,0.553022,0.401709,0.345190,0.373036,0.446661,0.423043,0.419430,0.460456,0.971654,0.963462,0.992963,0.960750,0.973323,0.952871,0.938416,0.895392,0.876276,0.893957,0.881167,0.857651,0.926089,0.904283,0.911151,0.970257,0.971315,0.978166,0.960202,0.963237,0.971814,0.961027,0.962213,0.955165,0.965815,0.961806,0.964721,0.976894,0.968886,0.965362
Fall_Allegheny_2,0.408884,0.000000,0.340086,0.523217,0.511063,0.522805,0.681237,0.822736,0.761791,0.559856,0.561064,0.568386,0.323209,0.378995,0.500132,0.403568,0.391537,0.408105,0.408916,0.971964,0.963107,0.983857,0.953700,0.970447,0.940670,0.955461,0.891693,0.889061,0.902375,0.872065,0.886687,0.943780,0.897882,0.906107,0.954904,0.960930,0.994690,0.943730,0.948685,0.995677,0.955157,0.947777,0.938735,0.955586,0.948037,0.951292,0.990105,0.961587,0.954017
Fall_Allegheny_3,0.434063,0.340086,0.000000,0.613630,0.607119,0.639565,0.728151,0.844512,0.802840,0.639891,0.643771,0.644662,0.357972,0.437348,0.477675,0.434483,0.425051,0.440842,0.414862,0.982583,0.977300,0.990645,0.965176,0.980544,0.954591,0.954557,0.909997,0.917968,0.921438,0.912077,0.913086,0.940028,0.906301,0.917273,0.977489,0.978579,0.984344,0.972212,0.974838,0.987500,0.973164,0.973342,0.965248,0.971580,0.968464,0.972707,0.978794,0.973649,0.971673
Fall_Braddock_1,0.532121,0.523217,0.613630,0.000000,0.319698,0.374299,0.783974,0.828370,0.780873,0.426357,0.409006,0.377747,0.573237,0.582497,0.615681,0.528043,0.547296,0.565858,0.565629,0.953608,0.944314,0.992687,0.943727,0.951625,0.932032,0.935680,0.876151,0.863339,0.865147,0.851592,0.851392,0.911819,0.889437,0.891642,0.947317,0.953446,0.982582,0.935583,0.940644,0.982895,0.936585,0.939967,0.931519,0.949042,0.940552,0.943436,0.979530,0.962328,0.946992
Fall_Braddock_2,0.484348,0.511063,0.607119,0.319698,0.000000,0.347024,0.762496,0.851866,0.764592,0.445521,0.391707,0.404490,0.569257,0.548346,0.603469,0.578998,0.511052,0.552137,0.562617,0.951052,0.939662,0.994342,0.940784,0.946525,0.930237,0.932618,0.871283,0.863924,0.865523,0.854342,0.847532,0.901035,0.888810,0.889497,0.949404,0.951770,0.982563,0.936946,0.940987,0.977761,0.937745,0.940427,0.933602,0.948099,0.940893,0.943272,0.975538,0.958228,0.946293
Fall_Braddock_3,0.503285,0.522805,0.639565,0.374299,0.347024,0.000000,0.778875,0.827166,0.772825,0.408482,0.467275,0.398356,0.549096,0.571568,0.628852,0.561958,0.522901,0.559268,0.574328,0.952074,0.947862,0.993239,0.941096,0.951978,0.928930,0.946114,0.873638,0.865388,0.873732,0.850984,0.856938,0.921125,0.904893,0.896288,0.948191,0.951377,0.982542,0.937410,0.944696,0.988757,0.943477,0.942423,0.931868,0.948109,0.938862,0.941576,0.984888,0.965608,0.951776
Fall_Control_1,0.699333,0.681237,0.728151,0.783974,0.762496,0.778875,0.000000,0.510800,0.466533,0.710056,0.743779,0.765356,0.692651,0.694500,0.628044,0.688732,0.751324,0.738155,0.679290,0.987716,0.985009,0.991021,0.979543,0.985776,0.975227,0.973886,0.950820,0.939934,0.945621,0.942259,0.943518,0.957493,0.947368,0.952777,0.988432,0.990857,0.996304,0.987067,0.987934,0.996811,0.990221,0.986679,0.981606,0.984687,0.985368,0.988057,0.992419,0.989911,0.985844
Fall_Control_2,0.836638,0.822736,0.844512,0.828370,0.851866,0.827166,0.510800,0.000000,0.540655,0.766359,0.825645,0.821202,0.810461,0.833094,0.817284,0.803782,0.850522,0.850322,0.800093,0.989829,0.991421,0.993404,0.988904,0.988231,0.985591,0.984895,0.948157,0.951784,0.946773,0.944765,0.950070,0.966898,0.954290,0.962840,0.992659,0.994917,0.995916,0.992128,0.992699,0.992472,0.992731,0.991271,0.985999,0.990488,0.991144,0.992583,0.994888,0.994811,0.987921
Fall_Control_3,0.765113,0.761791,0.802840,0.780873,0.764592,0.772825,0.466533,0.540655,0.000000,0.714761,0.713137,0.732449,0.770518,0.755662,0.769361,0.772495,0.783410,0.818487,0.758327,0.988030,0.985629,0.994851,0.981176,0.986198,0.978984,0.968006,0.938699,0.927779,0.934341,0.925666,0.929885,0.960317,0.942810,0.943572,0.990405,0.992465,0.996834,0.989567,0.990186,0.997213,0.990065,0.989046,0.984669,0.986775,0.987797,0.990198,0.993283,0.991925,0.987974
Fall_Monongahela_1,0.521998,0.559856,0.639891,0.426357,0.445521,0.408482,0.710056,0.766359,0.714761,0.000000,0.307851,0.279367,0.573484,0.576037,0.553482,0.563000,0.585733,0.604921,0.602577,0.981875,0.981628,0.992743,0.983075,0.982622,0.979048,0.976639,0.911428,0.892442,0.908812,0.889423,0.887018,0.947561,0.936976,0.930374,0.983835,0.984705,0.991736,0.978055,0.979770,0.996224,0.978794,0.978447,0.979058,0.984067,0.983109,0.980366,0.991199,0.984349,0.978899
